event_id,male_id,female_id,male_age,female_age,age_gap,same_race,same_field,shared_interests,attr_of_female,sinc_of_female,intel_of_female,fun_of_female,amb_of_female,attr_of_male,sinc_of_male,intel_of_male,fun_of_male,amb_of_male,male_pref_attr,male_pref_intel,female_pref_attr,female_pref_intel,male_self_attr,female_self_attr,male_goes_out,female_goes_out,male_decision,female_decision,match
0,P00000,P00006,28,29,1,0,0,5.3,2.6,4.8,2.2,3.1,4.8,7.1,6.3,5.8,5.8,7.0,27.7,18.3,14.9,23.6,8.4,5.0,often,very_often,0,0,0
0,P00000,P00007,28,26,2,0,0,9.0,8.0,8.3,7.0,4.1,3.3,8.9,6.5,7.3,8.3,7.0,27.7,18.3,35.6,16.5,8.4,6.2,often,rarely,1,1,1
0,P00000,P00008,28,32,4,0,0,2.6,5.0,10.0,3.7,5.3,8.4,6.8,6.4,4.6,9.0,4.5,27.7,18.3,35.6,17.8,8.4,4.9,often,very_often,0,1,0
0,P00000,P00009,28,22,6,0,1,2.8,3.3,6.0,6.6,6.6,4.3,6.9,7.3,6.3,8.0,7.5,27.7,18.3,14.9,22.3,8.4,6.4,often,often,0,1,0
0,P00000,P00010,28,27,1,0,0,3.4,5.3,5.2,5.3,7.7,7.0,8.9,5.9,5.7,7.4,8.3,27.7,18.3,30.9,16.1,8.4,4.4,often,rarely,0,1,0
0,P00000,P00011,28,36,8,0,0,2.1,5.4,9.1,5.3,6.1,8.3,8.6,6.0,4.2,7.8,7.2,27.7,18.3,11.4,22.4,8.4,7.4,often,rarely,0,1,0
0,P00001,P00006,25,29,4,1,0,4.6,3.0,6.8,2.0,5.8,4.1,3.2,7.4,7.5,5.6,5.6,14.7,35.3,14.9,23.6,5.6,5.0,sometimes,very_often,0,1,0
0,P00001,P00007,25,26,1,1,0,4.8,7.4,6.5,7.1,3.4,6.8,3.4,7.7,5.7,6.9,8.3,14.7,35.3,35.6,16.5,5.6,6.2,sometimes,rarely,1,0,0
0,P00001,P00008,25,32,7,0,0,4.0,3.1,9.1,5.9,5.0,5.1,4.8,5.7,6.9,6.4,5.9,14.7,35.3,35.6,17.8,5.6,4.9,sometimes,very_often,1,0,0
0,P00001,P00009,25,22,3,0,0,2.3,3.5,5.9,5.0,3.8,6.3,6.2,6.4,8.6,4.1,6.9,14.7,35.3,14.9,22.3,5.6,6.4,sometimes,often,0,0,0
0,P00001,P00010,25,27,2,0,0,6.7,4.8,6.1,5.2,8.5,8.2,5.9,7.7,8.7,4.0,5.8,14.7,35.3,30.9,16.1,5.6,4.4,sometimes,rarely,1,0,0
0,P00001,P00011,25,36,11,0,1,5.0,5.8,8.6,4.5,7.4,6.2,3.0,7.2,6.6,5.4,5.2,14.7,35.3,11.4,22.4,5.6,7.4,sometimes,rarely,1,0,0
0,P00002,P00006,19,29,10,0,0,7.0,4.1,3.9,5.3,4.0,4.0,6.5,5.6,5.9,9.2,6.6,31.8,13.1,14.9,23.6,7.9,5.0,rarely,very_often,0,1,0
0,P00002,P00007,19,26,7,0,0,4.8,7.1,5.2,4.6,4.5,2.2,5.1,7.0,6.7,10.0,5.8,31.8,13.1,35.6,16.5,7.9,6.2,rarely,rarely,1,0,0
0,P00002,P00008,19,32,13,1,0,5.9,6.3,7.4,4.8,3.2,6.1,7.0,5.9,5.9,8.6,6.1,31.8,13.1,35.6,17.8,7.9,4.9,rarely,very_often,0,1,0
0,P00002,P00009,19,22,3,1,1,4.6,5.8,5.8,5.4,5.2,4.3,6.1,8.8,5.5,9.1,7.8,31.8,13.1,14.9,22.3,7.9,6.4,rarely,often,1,1,1
0,P00002,P00010,19,27,8,0,0,5.2,5.8,4.0,4.2,6.0,8.4,5.4,7.4,5.2,8.3,4.7,31.8,13.1,30.9,16.1,7.9,4.4,rarely,rarely,1,1,1
0,P00002,P00011,19,36,17,0,0,6.4,7.0,8.8,2.4,7.9,7.1,7.2,8.0,6.7,8.9,5.4,31.8,13.1,11.4,22.4,7.9,7.4,rarely,rarely,1,0,0
0,P00003,P00006,26,29,3,0,0,5.5,3.9,7.0,4.8,5.5,6.2,4.9,6.4,6.3,7.8,7.3,18.2,19.6,14.9,23.6,6.5,5.0,very_often,very_often,0,0,0
0,P00003,P00007,26,26,0,0,0,5.4,6.5,7.4,7.6,3.5,4.2,6.1,4.5,6.8,8.8,7.9,18.2,19.6,35.6,16.5,6.5,6.2,very_often,rarely,1,1,1
